"Gene_Name","Number_of_binding_site","Average_strength_of_binding","Expression_covariation"
"FBgn0037213",18,5.614879743,-0.833559586
"FBgn0013725",14,3.68,-0.848000739
"FBgn0000071",23,4.556521739,-0.851299371
"FBgn0041160",6,3.733333333,-0.868905589
"FBgn0035236",15,3.608,-0.874190435
"FBgn0026320",17,5.617142857,-0.875591207
"FBgn0086519",3,4.766666667,-0.007106252
"FBgn0027790",4,3.405,-0.016460797
"FBgn0065099",3,3.473333333,-0.02133761
"FBgn0011695",4,4.625,-0.029376284
"FBgn0038951",13,4.5,-0.031053931
"FBgn0033429",18,4.4925,-0.036834681
"FBgn0037384",15,3.512,-0.038760798
"FBgn0035323",14,6.53,-0.04211091
"FBgn0034919",14,3.74,-0.044775821
"FBgn0025693",15,6.724,-0.055496735
"FBgn0031422",13,6.42,-0.071980572
"FBgn0034321",13,4.363333333,-0.074581857
"FBgn0027585",13,4.673333333,-0.076343977
"FBgn0027951",16,4.42,-0.091458969
"FBgn0014417",15,5.248,-0.098533288
"FBgn0022160",13,3.746666667,-0.099855573
"FBgn0010482",13,5.24,-0.104550579
"FBgn0002891",30,4.06,-0.105492902
"FBgn0015582",30,4.44,-0.106423681
"FBgn0014366",24,4.47,-0.107495468
"FBgn0010470",13,6.68,-0.10825208
"FBgn0038049",23,6.513333333,-0.110359108
"FBgn0026401",23,3.35,-0.111830858
"FBgn0263144",3,3.213333333,-0.11938452
"FBgn0050342",3,3.74,-0.119622841
"FBgn0033785",15,3.48,-0.121864273
"FBgn0033735",3,3.28,-0.135450385
"FBgn0003391",3,3.606666667,-0.141780024
"FBgn0042083",3,3.24,-0.162334642
"FBgn0050392",3,6.406666667,-0.171477202
"FBgn0010051",4,6.765,-0.17267331
"FBgn0085260",3,6.78,-0.173873865
"FBgn0051800",3,6.626666667,-0.177042098
"FBgn0052225",3,6.153333333,-0.186049376
"FBgn0037608",3,3.766666667,-0.192213854
"FBgn0027509",4,3.46,-0.202954467
"FBgn0001077",4,3.34,-0.209395275
"FBgn0033548",24,3.27,-0.21156939
"FBgn0036186",24,3.41,-0.211744715
"FBgn0035122",3,6.426666667,-0.211777303
"FBgn0022382",24,6.8,-0.214830279
"FBgn0035901",3,4.7,-0.228579486
"FBgn0038320",4,4.525,-0.230126061
"FBgn0003261",3,4.46,-0.233270401
"FBgn0032033",5,3.292,-0.242891972
"FBgn0031955",3,5.346666667,-0.245091814
"FBgn0259175",3,3.373333333,-0.245187969
"FBgn0033271",3,6.346666667,-0.248827001
"FBgn0036454",3,4.88,-0.254552067
"FBgn0042693",4,4.33,-0.261770129
"FBgn0086475",4,4.325,-0.26587896
"FBgn0000109",8,3.345,-0.270293828
"FBgn0032790",5,6.424,-0.270718447
"FBgn0037315",5,3.408,-0.273940868
"FBgn0031518",5,3.308,-0.274508561
"FBgn0263039",4,3.405,-0.276130955
"FBgn0035233",7,3.457142857,-0.284539894
"FBgn0003090",3,3.443333333,-0.285504765
"FBgn0036622",3,5.806666667,-0.288529078
"FBgn0033886",4,4.335,-0.289517755
"FBgn0037360",4,3.595,-0.297015323
"FBgn0037206",3,5.06,-0.30122878
"FBgn0037880",3,4.406666667,-0.312751115
"FBgn0015542",4,3.39,-0.318997286
"FBgn0262739",4,6.2,-0.321047071
"FBgn0037414",3,6.7,-0.323369629
"FBgn0035308",5,4.104,-0.337937281
"FBgn0039178",3,3.373333333,-0.340394725
"FBgn0028577",3,4.826666667,-0.340605494
"FBgn0033633",4,6.405,-0.346420314
"FBgn0004581",4,4.74,-0.349457335
"FBgn0032129",4,3.255,-0.349984508
"FBgn0034880",3,4.473333333,-0.350173482
"FBgn0002609",5,4.58,-0.352574958
"FBgn0003741",3,5.38,-0.3549519
"FBgn0039125",5,5.344,-0.358439608
"FBgn0032509",5,5.312,-0.360838364
"FBgn0035232",8,5.21,-0.361858463
"FBgn0026403",3,5.35,-0.367611561
"FBgn0264272",4,5.335,-0.368261051
"FBgn0004878",6,5.355,-0.373878259
"FBgn0033379",4,6.54,-0.375836253
"FBgn0011653",4,6.435,-0.379950463
"FBgn0039538",4,6.32,-0.380588018
"FBgn0037571",3,3.44,-0.393121463
"FBgn0035767",3,4.64,-0.401075549
"FBgn0035989",6,4.52,-0.402679226
"FBgn0062978",3,4.44,-0.407159336
"FBgn0035517",4,4.565,-0.407373304
"FBgn0041096",3,6.44,-0.411840229
"FBgn0028398",5,6.404,-0.413223579
"FBgn0035179",6,3.426666667,-0.420918079
"FBgn0261975",4,3.37,-0.428978093
"FBgn0261574",5,5.444,-0.429202741
"FBgn0003275",4,5.4,-0.433539356
"FBgn0000547",3,5.446666667,-0.434526128
"FBgn0032358",4,5.25,-0.441744152
"FBgn0032388",4,4.2,-0.444588586
"FBgn0015621",7,3.312857143,-0.451604258
"FBgn0261565",3,6.326666667,-0.453446141
"FBgn0051032",4,3.74,-0.456088105
"FBgn0036286",3,3.246666667,-0.467623717
"FBgn0038722",5,6.414,-0.467760207
"FBgn0003278",5,6.424,-0.4696329
"FBgn0037255",4,6.235,-0.473331465
"FBgn0033049",8,3.3425,-0.478247358
"FBgn0036537",4,3.25,-0.485672916
"FBgn0001296",4,6.6,-0.487635852
"FBgn0040763",3,6.44,-0.495554119
"FBgn0023416",4,3.66,-0.500912215
"FBgn0003308",3,3.433333333,-0.506677048
"FBgn0020309",4,3.39,-0.507312044
"FBgn0033872",3,6.593333333,-0.508242884
"FBgn0031312",3,3.093333333,-0.510639148
"FBgn0000497",4,6.5375,-0.511762245
"FBgn0250789",4,6.2775,-0.521955703
"FBgn0051950",3,5.186666667,-0.526677041
"FBgn0053051",4,6.325,-0.526843502
"FBgn0262468",3,4.376666667,-0.527839765
"FBgn0031375",6,4.226666667,-0.529852999
"FBgn0086365",6,4.333333333,-0.531054688
"FBgn0264711",4,4.705,-0.531700176
"FBgn0015778",3,4.54,-0.535448077
"FBgn0038194",4,3.72,-0.537538713
"FBgn0003435",9,4.337777778,-0.54388285
"FBgn0037492",4,3.235,-0.548054324
"FBgn0063485",3,3.153333333,-0.556212795
"FBgn0264718",5,4.528,-0.556618535
"FBgn0000543",3,4.546666667,-0.557701771
"FBgn0038803",3,4.453333333,-0.561980236
"FBgn0259139",4,4.34,-0.564402543
"FBgn0264326",4,4.32,-0.573041381
"FBgn0051717",3,4.28,-0.583464528
"FBgn0004863",3,3.786666667,-0.590449842
"FBgn0038318",4,3.525,-0.595404961
"FBgn0014870",3,5.473333333,-0.598053088
"FBgn0038617",3,6.246666667,-0.605062814
"FBgn0033716",3,5.48,-0.605980844
"FBgn0014380",6,4.363333333,-0.606996677
"FBgn0032924",3,5.283333333,-0.611943489
"FBgn0027548",3,5.226666667,-0.612455254
"FBgn0011604",3,5.626666667,-0.61274537
"FBgn0032195",4,5.38,-0.614260638
"FBgn0037818",3,3.19,-0.614697418
"FBgn0027094",4,3.3225,-0.615800767
"FBgn0035272",3,4.91,-0.64643259
"FBgn0031403",5,5.424,-0.64732847
"FBgn0264294",3,4.286666667,-0.648249547
"FBgn0038856",4,5.34,-0.654363239
"FBgn0000097",6,6.376666667,-0.657007602
"FBgn0038950",3,5.5,-0.66053491
"FBgn0036150",3,3.553333333,-0.661586265
"FBgn0039404",3,4.386666667,-0.662417587
"FBgn0032814",3,5.38,-0.666599127
"FBgn0037329",9,3.495555556,-0.668458123
"FBgn0260648",16,4.391666667,-0.67136905
"FBgn0004587",13,5.293333333,-0.674848739
"FBgn0033674",15,4.536,-0.675277649
"FBgn0032202",4,4.585,-0.676640987
"FBgn0033235",4,4.575,-0.677934399
"FBgn0034176",17,4.402857143,-0.681542749
"FBgn0035195",14,4.295,-0.685717015
"FBgn0039209",13,4.293333333,-0.686871138
"FBgn0035424",13,3.683333333,-0.687651369
"FBgn0017577",13,3.286666667,-0.696404996
"FBgn0027594",5,5.5,-0.697214298
"FBgn0034958",4,4.625,-0.697532083
"FBgn0037200",4,5.375,-0.697982866
"FBgn0032430",13,3.313333333,-0.699527713
"FBgn0004636",15,5.228,-0.699905937
"FBgn0039557",4,3.06,-0.701184473
"FBgn0002643",13,6.76,-0.706269109
"FBgn0032629",13,5.14,-0.70979634
"FBgn0032988",4,4.39,-0.720754008
"FBgn0032210",4,3.45,-0.726456127
"FBgn0037504",13,4.473333333,-0.727729981
"FBgn0036000",13,3.6,-0.729123276
"FBgn0052138",15,3.528,-0.730453752
"FBgn0041161",15,3.528,-0.734426679
"FBgn0027932",5,5.248,-0.7349489
"FBgn0038046",3,6.513333333,-0.736352818
"FBgn0002283",3,3.653333333,-0.738866755
"FBgn0020766",5,6.484,-0.740437647
"FBgn0035769",3,6.153333333,-0.745355943
"FBgn0034540",3,6.293333333,-0.746540407
"FBgn0036096",4,6.335,-0.750832973
"FBgn0039349",3,6.813333333,-0.751640149
"FBgn0035954",3,3.38,-0.763251984
"FBgn0005592",4,3.8,-0.765188962
"FBgn0028690",4,4.375,-0.766530637
"FBgn0004892",13,4.37,-0.775528468
"FBgn0259211",13,4.226666667,-0.785331694
"FBgn0033029",9,4.337777778,-0.788696563
"FBgn0026160",3,4.473333333,-0.790224002
"FBgn0033087",5,4.616,-0.797956234
"FBgn0031376",14,4.19,-0.798006922
"FBgn0262029",4,4.435,-0.798612981
"FBgn0028894",3,3.546666667,-0.810552665
"FBgn0021874",6,3.291666667,-0.832392721
"FBgn0010105",5,3.46,-0.847017906
"FBgn0012037",14,6.6,-0.852485712
"FBgn0001123",17,6.351428571,-0.862397896
"FBgn0000413",14,6.13,-0.873391886
